category,sample_id,filename,original_rms_db,duration_sec,path
Office,01,office_01.wav,-27.3,100.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Office/office_01.wav
Office,02,office_02.wav,-30.59,18.45,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Office/office_02.wav
Office,03,office_03.wav,-34.16,100.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Office/office_03.wav
Office,04,office_04.wav,-27.88,12.96,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Office/office_04.wav
Office,05,office_05.wav,-35.26,22.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Office/office_05.wav
Cafe,01,cafe_01.wav,-37.01,100.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Cafe/cafe_01.wav
Cafe,02,cafe_02.wav,-26.04,100.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Cafe/cafe_02.wav
Cafe,03,cafe_03.wav,-32.09,100.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Cafe/cafe_03.wav
Cafe,04,cafe_04.wav,-53.21,100.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Cafe/cafe_04.wav
Cafe,05,cafe_05.wav,-24.35,100.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Cafe/cafe_05.wav
StreetTraffic,01,streetTraffic_01.wav,-22.63,50.35,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/StreetTraffic/streetTraffic_01.wav
StreetTraffic,02,streetTraffic_02.wav,-29.29,100.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/StreetTraffic/streetTraffic_02.wav
StreetTraffic,03,streetTraffic_03.wav,-21.16,9.94,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/StreetTraffic/streetTraffic_03.wav
StreetTraffic,04,streetTraffic_04.wav,-28.11,22.41,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/StreetTraffic/streetTraffic_04.wav
StreetTraffic,05,streetTraffic_05.wav,-22.69,3.26,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/StreetTraffic/streetTraffic_05.wav
Home,01,home_01.wav,-15.92,61.46,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Home/home_01.wav
Home,02,home_02.wav,-30.38,37.71,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Home/home_02.wav
Home,03,home_03.wav,-17.44,72.7,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Home/home_03.wav
Home,04,home_04.wav,-23.53,100.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Home/home_04.wav
Home,05,home_05.wav,-34.13,22.47,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Home/home_05.wav
Construction,01,construction_01.wav,-23.35,7.46,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Construction/construction_01.wav
Construction,02,construction_02.wav,-17.06,8.59,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Construction/construction_02.wav
Construction,03,construction_03.wav,-26.73,1.66,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Construction/construction_03.wav
Construction,04,construction_04.wav,-14.46,9.56,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Construction/construction_04.wav
Construction,05,construction_05.wav,-10.68,7.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Construction/construction_05.wav
Airport,01,airport_01.wav,-30.78,100.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Airport/airport_01.wav
Airport,02,airport_02.wav,-24.51,100.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Airport/airport_02.wav
Airport,03,airport_03.wav,-25.54,90.09,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Airport/airport_03.wav
Airport,04,airport_04.wav,-22.83,100.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Airport/airport_04.wav
Airport,05,airport_05.wav,-24.55,100.0,/home/feuer/Desktop/Repo/Projects/cursorDir/shivani/BackgroundNoise/Airport/airport_05.wav
